id_cliente,nome,email
88,Helena Mendes,helena.mendes@email.com
89,Ivan Pires,ivan.pires@email.com
90,Juliana Rocha,juliana.rocha@email.com
91,Kelvin Santos,kelvin.santos@email.com
92,Leticia Almeida,leticia.almeida@email.com
93,Marcia Ferreira,marcia.ferreira@email.com
94,Norberto Gomes,norberto.gomes@email.com
95,Oscar Lima,oscar.lima@email.com
96,Priscila Oliveira,priscila.oliveira@email.com
97,Roberto Pires,roberto.pires@email.com
98,Silvia Dias,silvia.dias@email.com
99,Tales Ferreira,tales.ferreira@email.com
100,Ulisses Gomes,ulisses.gomes@email.com
101,Viviane Lima,viviane.lima@email.com
102,Wagner Oliveira,wagner.oliveira@email.com
103,Xavier Silva,xavier.silva@email.com
104,Yasmin Costa,yasmin.costa@email.com
105,Zacarias Mendes,zacarias.mendes@email.com
106,Aline Oliveira,aline.oliveira@email.com
107,Bruno Pereira,bruno.pereira@email.com
108,Cintia Souza,cintia.souza@email.com
109,Danilo Silva,danilo.silva@email.com
110,Elaine Costa,elaine.costa@email.com
111,Fabricio Oliveira,fabricio.oliveira@email.com
112,Gisele Gomes,gisele.gomes@email.com
113,Heitor Lima,heitor.lima@email.com
114,Ieda Pires,ieda.pires@email.com
115,Jonas Rocha,jonas.rocha@email.com
116,Katya Santos,katya.santos@email.com
117,Luis Almeida,luis.almeida@email.com
118,Monica Ferreira,monica.ferreira@email.com
119,Nathan Gomes,nathan.gomes@email.com
120,Olga Lima,olga.lima@email.com
121,Paulo Oliveira,paulo.oliveira@email.com
122,Quirino Pereira,quirino.pereira@email.com
123,Rita Souza,rita.souza@email.com
124,Sidney Silva,sidney.silva@email.com
125,Tatiana Costa,tatiana.costa@email.com
126,Ubirajara Oliveira,ubirajara.oliveira@email.com
127,Veronica Gomes,veronica.gomes@email.com
128,Wilson Lima,wilson.lima@email.com
129,Xuxa Pires,xuxa.pires@email.com
130,Yuri Rocha,yuri.rocha@email.com
131,Zilda Santos,zilda.santos@email.com
132,Agnes Almeida,agnes.almeida@email.com
133,Bernardo Ferreira,bernardo.ferreira@email.com
134,Carolina Gomes,carolina.gomes@email.com
135,Denis Lima,denis.lima@email.com
136,Elaine Oliveira,elaine.oliveira@email.com
137,Fernando Pires,fernando.pires@email.com
138,Georgia Santos,georgia.santos@email.com
139,Helio Almeida,helio.almeida@email.com
140,Iara Ferreira,iara.ferreira@email.com
141,Jorge Gomes,jorge.gomes@email.com
142,Karla Lima,karla.lima@email.com
143,Lucas Oliveira,lucas.oliveira@email.com
144,Marta Pereira,marta.pereira@email.com
145,Nadia Souza,nadia.souza@email.com
146,Osvaldo Silva,osvaldo.silva@email.com
147,Paula Costa,paula.costa@email.com
148,Quintino Oliveira,quintino.oliveira@email.com
149,Raul Gomes,raul.gomes@email.com
150,Simone Lima,simone.lima@email.com
151,Thiago Pires,thiago.pires@email.com
152,Ursa Rocha,ursa.rocha@email.com
153,Victor Santos,victor.santos@email.com
154,Waleska Almeida,waleska.almeida@email.com
155,Xavier Ferreira,xavier.ferreira@email.com
156,Yara Gomes,yara.gomes@email.com
157,Zelia Lima,zelia.lima@email.com
158,Amanda Oliveira,amanda.oliveira@email.com
159,Bruno Pereira,bruno.pereira@email.com
160,Cintia Souza,cintia.souza@email.com
161,Danilo Silva,danilo.silva@email.com
162,Elaine Costa,elaine.costa@email.com
163,Fabricio Oliveira,fabricio.oliveira@email.com
164,Gisele Gomes,gisele.gomes@email.com
165,Heitor Lima,heitor.lima@email.com
166,Ieda Pires,ieda.pires@email.com
167,Jonas Rocha,jonas.rocha@email.com
168,Katya Santos,katya.santos@email.com
169,Luis Almeida,luis.almeida@email.com
170,Monica Ferreira,monica.ferreira@email.com
171,Nathan Gomes,nathan.gomes@email.com
172,Olga Lima,olga.lima@email.com
173,Paulo Oliveira,paulo.oliveira@email.com
174,Quirino Pereira,quirino.pereira@email.com
175,Rita Souza,rita.souza@email.com
176,Sidney Silva,sidney.silva@email.com
177,Tatiana Costa,tatiana.costa@email.com
178,Ubirajara Oliveira,ubirajara.oliveira@email.com
179,Veronica Gomes,veronica.gomes@email.com
180,Wilson Lima,wilson.lima@email.com
181,Xuxa Pires,xuxa.pires@email.com
182,Yuri Rocha,yuri.rocha@email.com
183,Zilda Santos,zilda.santos@email.com
184,Agnes Almeida,agnes.almeida@email.com
185,Bernardo Ferreira,bernardo.ferreira@email.com
186,Carolina Gomes,carolina.gomes@email.com
187,Denis Lima,denis.lima@email.com
188,Elaine Oliveira,elaine.oliveira@email.com
189,Fernando Pires,fernando.pires@email.com
190,Georgia Santos,georgia.santos@email.com
191,Helio Almeida,helio.almeida@email.com
192,Iara Ferreira,iara.ferreira@email.com
193,Jorge Gomes,jorge.gomes@email.com
194,Karla Lima,karla.lima@email.com
195,Lucas Oliveira,lucas.oliveira@email.com
196,Marta Pereira,marta.pereira@email.com
197,Nadia Souza,nadia.souza@email.com
198,Osvaldo Silva,osvaldo.silva@email.com
199,Paula Costa,paula.costa@email.com
200,Quintino Oliveira,quintino.oliveira@email.com
